time,date,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,country,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-30T17:18:57.445Z,2019-12-30,35.5909,74.628,13.82,5.6,mww,,41,2.236,0.74,us,us70006sj8,2020-07-10T17:56:34.805Z,34km NW of Idgah, Pakistan,6.6,3.7,0.061,26,reviewed,us,us
2019-12-28T15:36:35.773Z,2019-12-28,-44.6079,37.0941,10,5.7,mww,,45,18.544,0.91,us,us70006rx5,2020-09-27T07:55:18.013Z,261km NNW of Marion Island, Prince Edward Islands,11.7,1.8,0.046,46,reviewed,us,us
2019-12-25T20:20:12.751Z,2019-12-25,-25.2226,-115.8438,10,6.1,mww,,38,6.072,1.15,us,us70006r1g,2020-03-14T22:24:43.040Z,Southern East Pacific Rise,,10.8,1.8,0.059,28,reviewed,us,us
2019-12-25T03:36:01.626Z,2019-12-25,50.6106,-129.963,6.58,6.3,mww,,77,1.853,0.67,us,us70006qt7,2020-03-14T22:25:03.040Z,180km W of Port Hardy, Canada,7.2,1.3,0.032,95,reviewed,us,us
2019-12-24T19:19:03.273Z,2019-12-24,3.4502,-74.1034,10,5.7,mww,,51,1.402,0.7,us,us70006qp1,2020-07-10T17:56:24.797Z,9km NW of Mesetas, Colombia,7.1,1.7,0.046,46,reviewed,us,us
2019-12-24T19:03:52.492Z,2019-12-24,3.5359,-74.0176,11,6,mww,,36,1.335,0.68,us,us70006qnn,2020-07-10T17:56:11.761Z,1km NNE of Lejanias, Colombia,6.5,1.7,0.041,58,reviewed,us,us
2019-12-24T16:43:33.420Z,2019-12-24,-26.964,-63.3857,572.44,6,mww,,31,5.13,0.93,us,us70006qk4,2020-03-14T22:25:14.040Z,16km WNW of El Hoyo, Argentina,9.1,3,0.04,61,reviewed,us,us
2019-12-23T20:56:23.555Z,2019-12-23,50.5169,-129.7573,10,6,mww,,99,1.042,1.05,us,us70006q96,2020-03-07T17:47:53.040Z,166km W of Port Hardy, Canada,5.7,1.8,0.038,66,reviewed,us,us
2019-12-23T19:49:43.086Z,2019-12-23,50.6071,-129.9372,10,6,mww,,100,1.149,1.06,us,us70006q8n,2020-03-07T17:47:53.040Z,178km W of Port Hardy, Canada,4.4,1.8,0.03,106,reviewed,us,us
2019-12-23T19:13:25.075Z,2019-12-23,50.543,-129.8328,10,5.7,mww,,116,1.087,0.93,us,us70006q8f,2020-03-07T17:47:52.040Z,171km W of Port Hardy, Canada,3.3,1.7,0.032,92,reviewed,us,us
