time,date,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-08T15:58:49.998Z,2020-10-08,-5.9004,150.8349,30,5.8,mww,,28,2.152,0.8,us,us6000c6si,2020-10-09T16:45:33.332Z,"86 km ESE of Kimbe, Papua New Guinea",earthquake,5.1,1.8,0.054,33,reviewed,us,us
2020-10-08T07:35:32.224Z,2020-10-08,-6.114,146.1686,103.49,6.3,mww,,15,3.413,0.89,us,us6000c6mu,2020-10-10T08:04:39.636Z,"38 km ENE of Kainantu, Papua New Guinea",earthquake,7,5.6,0.073,18,reviewed,us,us
2020-10-06T10:11:46.475Z,2020-10-06,-18.0186,-178.4948,628.77,6,mww,,18,3.298,1.11,us,us6000c617,2020-10-07T15:26:49.040Z,"231 km E of Levuka, Fiji",earthquake,9.6,3.3,0.049,40,reviewed,us,us
2020-10-01T10:34:48.481Z,2020-10-01,-6.0867,148.6576,109.22,6,mww,,19,3.615,0.95,us,us6000c3td,2020-10-05T16:55:45.040Z,"99 km W of Kandrian, Papua New Guinea",earthquake,6.7,6.5,0.055,32,reviewed,us,us
2020-09-20T22:13:15.044Z,2020-09-20,9.2614,126.6799,9,5.8,mww,,43,2.435,0.56,us,us7000bql2,2020-10-07T23:38:21.051Z,"53 km E of Cortes, Philippines",earthquake,7.2,1.7,0.052,35,reviewed,us,us
2020-09-17T17:01:31.966Z,2020-09-17,-16.5187,-177.2625,10,5.6,mww,,92,2.349,0.87,us,us7000bphn,2020-09-23T15:32:54.243Z,"260 km SSE of Alo, Wallis and Futuna",earthquake,7.7,1.8,0.086,13,reviewed,us,us
2020-09-17T10:32:25.544Z,2020-09-17,-6.7757,129.3625,182.77,5.5,mww,,18,2.264,1.28,us,us7000bpbx,2020-09-18T10:36:29.288Z,Banda Sea,earthquake,7.3,0.4,0.093,11,reviewed,us,us
2020-09-16T08:44:29.334Z,2020-09-16,-22.3111,171.5507,107.27,5.7,mww,,45,3.371,1.12,us,us7000bnvp,2020-10-17T15:44:12.986Z,southeast of the Loyalty Islands,earthquake,7.8,3.7,0.041,57,reviewed,us,us
2020-09-15T04:12:16.291Z,2020-09-15,-15.095,179.8689,10,6,mww,,34,3.159,0.66,us,us7000bndc,2020-10-06T02:54:09.577Z,"157 km NNE of Labasa, Fiji",earthquake,3.2,1.7,0.098,10,reviewed,us,us
2020-09-12T08:34:27.322Z,2020-09-12,-17.2576,167.6786,10,5.9,mww,,64,1.857,0.7,us,us7000bmcx,2020-09-25T12:11:10.835Z,"85 km NW of Port-Vila, Vanuatu",earthquake,6,1.9,0.043,51,reviewed,us,us
2020-09-12T02:37:29.824Z,2020-09-12,-17.8709,-178.0097,558.55,5.6,mww,,36,3.544,1.07,us,us7000bm9g,2020-10-09T02:02:00.290Z,Fiji region,earthquake,9.6,5.3,0.093,11,reviewed,us,us
2020-09-09T07:18:40.225Z,2020-09-09,4.1837,126.6366,17,5.8,mww,,32,3.054,1.19,us,us7000bk82,2020-10-14T12:00:11.031Z,"187 km SE of Sarangani, Philippines",earthquake,6.9,1.7,0.053,34,reviewed,us,us
2020-09-08T00:45:20.801Z,2020-09-08,-4.8828,129.7559,172,5.9,mww,,13,3.16,0.81,us,us7000bjgb,2020-10-16T03:46:51.330Z,"194 km SSE of Amahai, Indonesia",earthquake,6.5,1.8,0.086,13,reviewed,us,us
2020-09-07T06:29:14.938Z,2020-09-07,-17.1622,168.5076,10,5.7,mww,,41,2.116,0.83,us,us7000bj71,2020-10-04T09:05:11.136Z,"66 km NNE of Port-Vila, Vanuatu",earthquake,7,1.8,0.05,38,reviewed,us,us
2020-09-07T06:12:39.710Z,2020-09-07,-17.1086,168.4935,10,6,mww,,41,2.065,1.13,us,us7000bj6y,2020-10-04T13:09:52.650Z,"72 km NNE of Port-Vila, Vanuatu",earthquake,6.9,1.8,0.098,10,reviewed,us,us
2020-09-06T15:23:43.148Z,2020-09-06,6.2693,125.8285,120,6.3,mww,,29,0.832,1.22,us,us7000biyd,2020-10-03T05:14:44.435Z,"17 km E of Talagutong, Philippines",earthquake,7.2,1.9,0.045,47,reviewed,us,us
2020-09-06T02:59:16.073Z,2020-09-06,-17.1562,167.5321,10,6.2,mww,,59,1.728,1.19,us,us7000birm,2020-10-02T01:48:04.050Z,Vanuatu,earthquake,6.1,0.9,0.052,36,reviewed,us,us
2020-09-06T00:21:10.820Z,2020-09-06,1.6686,126.5621,30,5.9,mww,,20,1.2,0.89,us,us7000bipw,2020-10-08T04:01:45.229Z,"133 km NW of Ternate, Indonesia",earthquake,5.4,1.7,0.073,18,reviewed,us,us
2020-08-28T15:47:05.961Z,2020-08-28,-36.9075,177.1884,10,5.6,mww,,138,1.106,1.05,us,us7000beek,2020-09-20T14:30:00.458Z,"115 km NE of Maketu, New Zealand",earthquake,5.3,1.8,0.046,45,reviewed,us,us
2020-08-25T19:08:52.908Z,2020-08-25,-5.5454,151.8365,22,6.2,mww,,18,1.25,0.73,us,us7000bcty,2020-09-18T14:16:33.910Z,"141 km SSW of Kokopo, Papua New Guinea",earthquake,5.5,1.7,0.047,43,reviewed,us,us
2020-08-25T19:04:41.328Z,2020-08-25,-5.5708,151.804,10,5.5,mb,,41,1.28,0.84,us,us7000bed1,2020-09-18T14:45:52.749Z,"145 km SSW of Kokopo, Papua New Guinea",earthquake,8.1,1.8,0.053,122,reviewed,us,us
2020-08-25T19:02:58.437Z,2020-08-25,-5.5579,151.8638,23,6,mww,,16,1.259,0.72,us,us7000bctq,2020-09-29T14:12:23.265Z,"141 km SSW of Kokopo, Papua New Guinea",earthquake,5.8,1.8,0.055,32,reviewed,us,us
2020-08-22T00:39:35.576Z,2020-08-22,-4.0808,100.9938,21,5.5,mww,,30,1.976,0.8,us,us6000biub,2020-09-28T22:33:29.650Z,"144 km WSW of Bengkulu, Indonesia",earthquake,6.5,1.7,0.073,18,reviewed,us,us
2020-08-21T04:09:51.930Z,2020-08-21,-6.71,123.4649,624,6.9,mww,,20,2.267,1.31,us,us6000bi4p,2020-09-29T22:32:41.177Z,"222 km SSE of Katabu, Indonesia",earthquake,8.8,1.9,0.052,36,reviewed,us,us
2020-08-18T22:29:24.731Z,2020-08-18,-4.2069,101.2411,26,6.9,mww,,25,1.716,0.81,us,us6000bgvu,2020-08-25T23:13:28.016Z,"122 km WSW of Bengkulu, Indonesia",earthquake,6.6,1.8,0.033,86,reviewed,us,us
2020-08-18T22:23:59.478Z,2020-08-18,-4.3259,101.1342,22,6.8,mww,,34,1.816,0.85,us,us6000bgvl,2020-10-14T03:12:20.040Z,"138 km WSW of Bengkulu, Indonesia",earthquake,3.8,1.8,0.058,29,reviewed,us,us
2020-08-05T12:05:36.589Z,2020-08-05,-16.0944,168.065,181.88,6.4,mww,,24,1.05,0.78,us,us6000b9mv,2020-10-09T20:52:17.224Z,"69 km E of Lakatoro, Vanuatu",earthquake,7.6,2.9,0.034,83,reviewed,us,us
2020-08-04T16:31:18.873Z,2020-08-04,-12.5623,166.6146,70,5.6,mww,,48,2.924,1.38,us,us6000b993,2020-10-10T17:11:15.040Z,"177 km NW of Sola, Vanuatu",earthquake,5.4,1.9,0.049,40,reviewed,us,us
2020-08-02T09:29:57.474Z,2020-08-02,-3.0983,148.9161,10,5.9,mww,,52,1.869,0.92,us,us6000b8b6,2020-10-10T17:11:09.040Z,"216 km WSW of Kavieng, Papua New Guinea",earthquake,7.3,1.9,0.061,26,reviewed,us,us
2020-08-02T03:01:33.864Z,2020-08-02,-20.8168,173.4732,10,5.7,mww,,107,5.123,1.07,us,us6000b88w,2020-10-10T17:11:09.040Z,Vanuatu region,earthquake,8,1.8,0.052,36,reviewed,us,us
2020-08-01T19:22:05.163Z,2020-08-01,-3.1951,148.6496,10,6.1,mww,,23,1.718,0.67,us,us6000b84f,2020-10-10T17:11:08.040Z,"199 km SE of Lorengau, Papua New Guinea",earthquake,6.1,1.7,0.046,45,reviewed,us,us
2020-08-01T19:08:49.710Z,2020-08-01,-3.1882,148.7475,10,5.7,mww,,50,1.788,0.5,us,us6000b849,2020-10-10T17:11:08.040Z,"207 km SE of Lorengau, Papua New Guinea",earthquake,6.5,1.8,0.061,26,reviewed,us,us
2020-08-01T17:09:01.952Z,2020-08-01,7.2932,124.1331,483,6.4,mww,,13,1.451,1.04,us,us6000b80p,2020-10-10T17:11:08.040Z,"11 km SW of Polloc, Philippines",earthquake,7.4,1.9,0.027,129,reviewed,us,us
2020-07-31T10:02:16.044Z,2020-07-31,-8.8214,152.7763,10,5.6,mww,,35,4.64,0.41,us,us6000b7d1,2020-10-10T17:11:04.040Z,D'Entrecasteaux Islands region,earthquake,8.1,1.8,0.075,17,reviewed,us,us
2020-07-31T06:06:41.589Z,2020-07-31,8.5416,126.5987,28,5.7,mww,,32,1.777,0.97,us,us6000b7ai,2020-10-10T17:11:04.040Z,"34 km ENE of Hinatuan, Philippines",earthquake,8.2,1.9,0.052,36,reviewed,us,us
2020-07-27T17:32:45.227Z,2020-07-27,9.0183,126.2681,43.39,5.8,mww,,26,2.052,1.18,us,us6000b4ug,2020-10-03T17:32:27.040Z,"3 km N of La Paz, Philippines",earthquake,7.3,3.1,0.047,44,reviewed,us,us
2020-07-21T20:56:25.167Z,2020-07-21,-20.8045,-178.6325,605.2,6,mww,,34,6.479,0.98,us,us7000asms,2020-09-26T16:58:44.040Z,Fiji region,earthquake,8.6,2.9,0.068,21,reviewed,us,us
2020-07-18T01:37:15.512Z,2020-07-18,-10.4102,161.394,48,5.8,mww,,35,1.721,1.13,us,us7000aqpi,2020-09-26T16:58:35.040Z,"57 km W of Kirakira, Solomon Islands",earthquake,7.5,1.9,0.049,40,reviewed,us,us
2020-07-17T02:50:22.178Z,2020-07-17,-7.836,147.7704,73,7,mww,,18,1.671,1.1,us,us7000aq3e,2020-10-08T07:52:43.279Z,"114 km NNW of Popondetta, Papua New Guinea",earthquake,6.8,1.9,0.054,33,reviewed,us,us
2020-07-14T23:33:58.152Z,2020-07-14,-7.2022,120.4556,584.48,5.7,mww,,34,2.268,1.01,us,us7000anpp,2020-09-19T20:58:23.040Z,"155 km N of Ruteng, Indonesia",earthquake,9.4,5.7,0.049,40,reviewed,us,us
2020-07-06T22:54:47.538Z,2020-07-06,-5.6023,110.6893,533.76,6.6,mww,,14,1.458,1.16,us,us7000aj3w,2020-09-11T22:14:22.040Z,"97 km N of Batang, Indonesia",earthquake,8.7,2.7,0.056,31,reviewed,us,us
2020-07-05T18:50:01.333Z,2020-07-05,-14.9002,167.3834,115,5.8,mww,,62,0.57,0.94,us,us7000aid9,2020-09-11T22:14:17.040Z,"36 km ENE of Port-Olry, Vanuatu",earthquake,9.3,1.8,0.063,24,reviewed,us,us
2020-07-04T01:34:45.174Z,2020-07-04,-9.6799,154.9027,10,5.5,mww,,38,4.981,1.27,us,us7000ahpd,2020-09-11T22:14:08.040Z,"275 km SW of Gizo, Solomon Islands",earthquake,8,1.7,0.046,45,reviewed,us,us
2020-06-24T22:20:02.174Z,2020-06-24,-44.6494,167.4756,10.8,5.6,mww,,25,0.846,0.63,us,us7000aag4,2020-09-05T17:35:17.040Z,"87 km NNW of Te Anau, New Zealand",earthquake,4.1,2.5,0.061,26,reviewed,us,us
