time,date,year,month,month,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,country,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-09-29T12:11:39.171Z,2020-09-29,2020,09,2020-09,-21.0339,117.1499,10,4.5,mb,,97,2.413,0.85,us,us6000c2il,2020-09-30T04:10:39.526Z,39 km S of Wickham, Australia,earthquake,7.1,1.9,0.171,10,reviewed,us,us
2020-08-23T03:00:52.644Z,2020-08-23,2020,08,2020-08,-20.9471,146.2574,10,4.7,mb,,131,0.855,0.83,us,us6000bja6,2020-09-18T04:03:16.691Z,96 km S of Charters Towers City, Australia,earthquake,6.4,1.9,0.138,18,reviewed,us,us
2020-05-14T05:53:33.305Z,2020-05-14,2020,05,2020-05,-33.7003,138.7666,7.04,4.4,mb,,104,2.998,0.51,us,us70009fvb,2020-08-02T00:32:07.040Z,20 km NE of Clare, Australia,earthquake,6.7,6.4,0.178,9,reviewed,us,us
2020-05-02T17:48:38.784Z,2020-05-02,2020,05,2020-05,-32.3551,150.8055,16.05,4,mb,,48,2.055,1.15,us,us70009brt,2020-07-18T21:57:44.040Z,11 km ENE of Denman, Australia,earthquake,5.8,4.2,0.156,15,reviewed,us,us
2020-04-15T07:11:04.854Z,2020-04-15,2020,04,2020-04,-19.8545,148.77,10,5,mb,,31,2.381,1.33,us,us70008wkb,2020-07-09T14:31:06.040Z,57 km ENE of Bowen, Australia,earthquake,4.1,1.8,0.102,31,reviewed,us,us
2020-04-12T22:03:26.948Z,2020-04-12,2020,04,2020-04,-17.134,121.9442,10,4.3,mb,,82,4.517,0.88,us,us70008ymd,2020-06-30T14:03:15.040Z,97km NNW of Broome, Australia,earthquake,5.2,1.9,0.177,9,reviewed,us,us
2020-04-11T10:44:01.357Z,2020-04-11,2020,04,2020-04,-18.1361,120.3644,10,4.2,mb,,75,3.065,0.79,us,us70008yjt,2020-06-30T14:03:13.040Z,198km W of Broome, Australia,earthquake,7.7,1.8,0.159,12,reviewed,us,us
2020-02-10T09:24:38.966Z,2020-02-10,2020,02,2020-02,-21.4511,114.9944,10,4.3,mb,,127,1.38,1.31,us,us70007mgp,2020-04-25T22:19:08.040Z,197km WSW of Dampier, Australia,earthquake,8.1,1.9,0.161,11,reviewed,us,us
2020-01-28T03:10:54.891Z,2020-01-28,2020,01,2020-01,-23.5546,126.4035,10,4.4,mb,,68,5.475,1.01,us,us60007hwd,2020-04-11T18:21:00.040Z,286km N of Warburton, Australia,earthquake,7.5,2,0.24,5,reviewed,us,us
2019-12-20T14:29:10.383Z,2019-12-20,2019,12,2019-12,-12.1704,136.124,10,4.1,mb,,100,4.919,0.95,us,us70006p3w,2020-03-07T17:47:38.040Z,70km W of Nhulunbuy, Australia,earthquake,4.5,1.9,0.214,10,reviewed,us,us
